,A,B,C,D,E,depth,porosity
C1,44.2,31.9,5.4,10.5,8.0,1,21.8
C2,49.0,25.4,5.8,11.3,8.5,2,25.2
C3,50.2,24.8,5.7,11.1,8.2,3,26.1
C4,49.9,24.7,5.4,11.4,8.6,4,26.3
C5,48.5,27.8,5.9,10.2,7.6,5,22.6
C6,45.9,27.1,6.9,11.5,8.6,6,21.4
C7,44.1,31.9,6.0,10.2,7.8,7,22.0
C8,46.4,29.9,5.5,10.3,7.9,8,22.0
C9,45.7,27.0,6.2,12.0,9.1,9,23.1
C1O,46.4,30.0,5.1,10.4,8.1,10,24.0
C11,41.7,30.2,7.7,11.6,8.8,11,18.4
C12,44.9,25.7,7.7,12.4,9.3,12,20.5
C13,48.6,27.7,5.8,10.2,7.7,13,22.9
C14,49.7,26.7,4.9,10.6,8.1,14,27.2
C15,49.6,24.4,6.4,11.2,8.4,15,23.4
C16,46.5,28.6,5.9,10.7,8.3,16,22.5
C17,47.3,24.2,7.9,11.8,8.8,17,21.6
C18,44.7,30.0,6.8,10.5,8.0,18,20.5
C19,48.0,25.6,7.0,11.1,8.3,19,22.7
C20,50.0,23.8,6.6,11.2,8.4,20,23.7
C21,51.4,24.2,5.7,10.7,8.0,21,26.2
C22,53.3,25.1,5.2,9.4,7.0,22,26.4
C23,47.9,25.4,6.7,11.4,8.6,23,22.2
C24,43.5,29.8,6.7,11.2,8.8,24,19.5
C25,44.5,29.2,6.5,11.2,8.6,25,21.3
